259,Jango Fett,AS,8.00,Nonus,172.00,14.11,7.29,2426.92,1253.88,294.46,3975.26
260,Rae Sloane,MN,0.00,Destresium,144.00,66.00,5.00,9504.00,720.00,0.00,10224.00
261,Jack O'Neill,MI,5.47,Primary Flux Matrix,344.00,2.00,2.99,688.00,1028.56,85.83,1802.39
262,R2-D2,MD,12.00,Exotic Halosium,367.00,81.00,7.00,29727.00,2569.00,3875.52,36171.52
263,K-9,MO,5.00,Negative Hydrite,190.00,27.45,2.04,5215.50,387.60,280.16,5883.26
264,C-3PO,VI,15.74,Solidified Monogen,289.00,61.00,4.00,17629.00,1156.00,3005.60,21790.60
265,Doctor Who,IN,23.00,Non-refractive Nonite,307.00,41.00,4.14,12587.00,1270.98,3187.34,17045.32
266,Darth Vader,MI,5.47,Destresium,222.00,66.00,5.00,14652.00,1110.00,788.10,16550.10
267,Obi-Wan Kenobi,VT,15.25,Bioneural Degeneration Sensor,192.00,44.00,0.00,8448.00,0.00,1267.20,9715.20
268,Donna Noble,MI,5.47,Vanadogen,213.00,59.00,1.33,12567.00,283.29,642.51,13492.80
269,Doctor Who,HI,6.00,Primary Flux Matrix,329.00,2.00,2.99,658.00,983.71,98.50,1740.21
270,Anakin Skywalker,MI,5.47,Argesium,220.00,89.00,4.37,19580.00,961.40,1027.07,21568.47
271,Odo,IN,23.00,Dynamic Resonance Buffer,286.00,40.00,4.30,11440.00,1229.80,2914.05,15583.85
272,Darth Maul,VT,15.25,Modular Inertial Replication Scanner,5.00,33.00,3.10,165.00,15.50,27.08,207.58
273,Pavel Chekov,PR,14.00,Morphon,254.00,129.34,322.00,32852.36,81788.00,16049.65,130690.01
274,Leonard McCoy,MT,21.00,Positive Hermin,124.00,62.53,3.50,7753.72,434.00,1719.42,9907.14
